EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.715              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.185               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	5.102464684519568E+003	-7.1497619E-001	-7.1521479E-001	-2.893165685236454E-003	1.000000000000000E+000	0.0000000E+000	14	2.1897119E-001	1.0780572E+001	0.000000000000000E+000	2.0692348E-006	-9.3418598E-001
2	1	0	1	0	5.102492284519227E+003	-7.1442491E-001	-7.1466118E-001	5.050286558065893E-003	1.000000000000000E+000	1.1596313E-007	14	2.1824819E-001	1.0780569E+001	0.000000000000000E+000	-3.6092438E-006	-9.3290937E-001
2	1	0	1	0	5.102542384518631E+003	-7.1342236E-001	-7.1369505E-001	5.849297806788722E-003	1.000000000000000E+000	3.9745956E-007	14	2.1721508E-001	1.0780569E+001	5.009999940375565E-002	-4.1746148E-006	-9.3091011E-001
2	1	0	1	0	5.102592384518022E+003	-7.1242243E-001	-7.1274602E-001	6.174846232709169E-003	1.000000000000000E+000	7.0154709E-007	14	2.1629700E-001	1.0780569E+001	1.000999987954856E-001	-4.4010972E-006	-9.2904305E-001
2	1	0	1	0	5.102642384517414E+003	-7.1142250E-001	-7.1170586E-001	6.447586922958048E-003	1.000000000000000E+000	1.0195648E-006	14	2.1537843E-001	1.0780569E+001	1.500999981872155E-001	-4.5887855E-006	-9.2708433E-001
2	1	0	1	0	5.102692484516803E+003	-7.1042085E-001	-7.1071410E-001	6.398081032346264E-003	1.000000000000000E+000	1.3450734E-006	14	2.1449159E-001	1.0780569E+001	2.001999975764193E-001	-4.5472066E-006	-9.2520571E-001
2	1	0	1	0	5.102742584516207E+003	-7.0941842E-001	-7.0970404E-001	6.587916159467709E-003	1.000000000000000E+000	1.6734490E-006	14	2.1362489E-001	1.0780569E+001	2.502999969801749E-001	-4.6754708E-006	-9.2332894E-001
2	1	0	1	0	5.102792584515599E+003	-7.0841843E-001	-7.0869887E-001	6.588775982554251E-003	1.000000000000000E+000	2.0042346E-006	14	2.1277496E-001	1.0780569E+001	3.002999963719049E-001	-4.6694581E-006	-9.2147386E-001
2	1	0	1	0	5.102842584514990E+003	-7.0741838E-001	-7.0768940E-001	6.625023143391841E-003	1.000000000000000E+000	2.3383632E-006	14	2.1189269E-001	1.0780569E+001	3.502999957636348E-001	-4.6884588E-006	-9.1958213E-001
2	1	0	1	0	5.102892684514401E+003	-7.0641667E-001	-7.0663893E-001	6.780792865627466E-003	1.000000000000000E+000	2.6772020E-006	14	2.1102710E-001	1.0780569E+001	4.003999951746664E-001	-4.7915723E-006	-9.1766602E-001
2	1	0	1	0	5.102942784513783E+003	-7.0541441E-001	-7.0568454E-001	6.717300676326782E-003	1.000000000000000E+000	3.0181873E-006	14	2.1015720E-001	1.0780569E+001	4.504999945565942E-001	-4.7402955E-006	-9.1584176E-001
2	1	0	1	0	5.102992784513175E+003	-7.0441449E-001	-7.0468676E-001	6.800064170319156E-003	1.000000000000000E+000	3.3603317E-006	14	2.0929612E-001	1.0780569E+001	5.004999939483241E-001	-4.7919152E-006	-9.1398287E-001
2	1	0	1	0	5.103042784512567E+003	-7.0341444E-001	-7.0367306E-001	6.886423548200632E-003	1.000000000000000E+000	3.7051550E-006	14	2.0842403E-001	1.0780569E+001	5.504999933400541E-001	-4.8457910E-006	-9.1209710E-001
2	1	0	1	0	5.103092884511978E+003	-7.0241266E-001	-7.0267022E-001	6.837624308433710E-003	1.000000000000000E+000	4.0519562E-006	14	2.0756298E-001	1.0780569E+001	6.005999927510857E-001	-4.8045949E-006	-9.1023320E-001
2	1	0	1	0	5.103142984511353E+003	-7.0141041E-001	-7.0169461E-001	6.878732986041095E-003	1.000000000000000E+000	4.3979039E-006	14	2.0670320E-001	1.0780569E+001	6.506999921257375E-001	-4.8267698E-006	-9.0839779E-001
2	1	0	1	0	5.103192984510752E+003	-7.0041043E-001	-7.0072758E-001	6.926210301807456E-003	1.000000000000000E+000	4.7444937E-006	14	2.0589098E-001	1.0780569E+001	7.006999915247434E-001	-4.8533866E-006	-9.0661860E-001
2	1	0	1	0	5.103243084510141E+003	-6.9940883E-001	-6.9966203E-001	6.881574293887693E-003	1.000000000000000E+000	5.0938038E-006	14	2.0503187E-001	1.0780569E+001	7.507999909139471E-001	-4.8147763E-006	-9.0469390E-001
2	1	0	1	0	5.103293284509535E+003	-6.9840491E-001	-6.9867045E-001	7.039347032043924E-003	1.000000000000000E+000	5.4463449E-006	14	2.0414485E-001	1.0780569E+001	8.009999903079006E-001	-4.9181835E-006	-9.0281528E-001
2	1	0	1	0	5.103343384508931E+003	-6.9740242E-001	-6.9764876E-001	6.949732314010526E-003	1.000000000000000E+000	5.8000514E-006	14	2.0329498E-001	1.0780569E+001	8.510999897043803E-001	-4.8484721E-006	-9.0094376E-001
2	1	0	1	0	5.103393484508320E+003	-6.9640094E-001	-6.9664800E-001	6.975029400094257E-003	1.000000000000000E+000	6.1518426E-006	14	2.0242958E-001	1.0780569E+001	9.011999890935840E-001	-4.8591405E-006	-8.9907759E-001
2	1	0	1	0	5.103443684507714E+003	-6.9539666E-001	-6.9564128E-001	7.669079341507776E-003	1.000000000000000E+000	6.5205322E-006	14	2.0148891E-001	1.0780569E+001	9.513999884875375E-001	-5.3349281E-006	-8.9713019E-001
2	1	0	1	0	5.103493784507111E+003	-6.9439441E-001	-6.9462657E-001	7.029551372397705E-003	1.000000000000000E+000	6.8911850E-006	14	2.0064743E-001	1.0780569E+001	1.001499987884017E+000	-4.8829133E-006	-8.9527398E-001
2	1	0	1	0	5.103543784506503E+003	-6.9339436E-001	-6.9363725E-001	7.066906594748915E-003	1.000000000000000E+000	7.2464177E-006	14	1.9977769E-001	1.0780569E+001	1.051499987275747E+000	-4.9018695E-006	-8.9341497E-001
2	1	0	1	0	5.103593884505914E+003	-6.9239295E-001	-6.9267190E-001	7.131722410548949E-003	1.000000000000000E+000	7.6045385E-006	14	1.9893312E-001	1.0780569E+001	1.101599986686779E+000	-4.9399437E-006	-8.9160502E-001
2	1	0	1	0	5.103644084505286E+003	-6.9138867E-001	-6.9163066E-001	7.060739918600567E-003	1.000000000000000E+000	7.9643241E-006	14	1.9807841E-001	1.0780569E+001	1.151799986058904E+000	-4.8834240E-006	-8.8970906E-001
2	1	0	1	0	5.103694184504682E+003	-6.9038635E-001	-6.9065166E-001	7.149790776936622E-003	1.000000000000000E+000	8.3225832E-006	14	1.9722286E-001	1.0780569E+001	1.201899985455384E+000	-4.9380146E-006	-8.8787448E-001
2	1	0	1	0	5.103744184504074E+003	-6.8938643E-001	-6.8963480E-001	7.078338461859075E-003	1.000000000000000E+000	8.6802656E-006	14	1.9638023E-001	1.0780569E+001	1.251899984847114E+000	-4.8814686E-006	-8.8601506E-001
2	1	0	1	0	5.103794184503466E+003	-6.8838638E-001	-6.8863064E-001	7.075684823104417E-003	1.000000000000000E+000	9.0374624E-006	14	1.9549802E-001	1.0780569E+001	1.301899984238844E+000	-4.8725333E-006	-8.8412869E-001
2	1	0	1	0	5.103844284502862E+003	-6.8738461E-001	-6.8765032E-001	7.195548027739085E-003	1.000000000000000E+000	9.3980416E-006	14	1.9464794E-001	1.0780569E+001	1.351999983635324E+000	-4.9480209E-006	-8.8229823E-001
2	1	0	1	0	5.103894384502259E+003	-6.8638241E-001	-6.8667871E-001	7.080587280345080E-003	1.000000000000000E+000	9.7585007E-006	14	1.9380417E-001	1.0780569E+001	1.402099983031803E+000	-4.8620886E-006	-8.8048291E-001
2	1	0	1	0	5.103944384501650E+003	-6.8538243E-001	-6.8564600E-001	7.194774416145966E-003	1.000000000000000E+000	1.0119173E-005	14	1.9292241E-001	1.0780569E+001	1.452099982423533E+000	-4.9330683E-006	-8.7856841E-001
2	1	0	1	0	5.103994484501047E+003	-6.8438083E-001	-6.8465728E-001	7.196248067479368E-003	1.000000000000000E+000	1.0481787E-005	14	1.9208425E-001	1.0780569E+001	1.502199981820013E+000	-4.9269638E-006	-8.7674153E-001
2	1	0	1	0	5.104044684500448E+003	-6.8337685E-001	-6.8361205E-001	7.099435486058667E-003	1.000000000000000E+000	1.0844195E-005	14	1.9124036E-001	1.0780569E+001	1.552399981221242E+000	-4.8532597E-006	-8.7485242E-001
2	1	0	1	0	5.104094784499830E+003	-6.8237442E-001	-6.8263191E-001	7.212902226321483E-003	1.000000000000000E+000	1.1206457E-005	14	1.9036685E-001	1.0780569E+001	1.602499980603170E+000	-4.9237574E-006	-8.7299877E-001
2	1	0	1	0	5.104144884499226E+003	-6.8137288E-001	-6.8158495E-001	7.152402112079126E-003	1.000000000000000E+000	1.1568598E-005	14	1.8952653E-001	1.0780569E+001	1.652599979999650E+000	-4.8749698E-006	-8.7111151E-001
2	1	0	1	0	5.104194984498623E+003	-6.8037045E-001	-6.8064183E-001	7.164123755905583E-003	1.000000000000000E+000	1.1930759E-005	14	1.8869181E-001	1.0780569E+001	1.702699979396129E+000	-4.8762022E-006	-8.6933362E-001
2	1	0	1	0	5.104245084498012E+003	-6.7936885E-001	-6.7957497E-001	7.303942980780419E-003	1.000000000000000E+000	1.2296279E-005	14	1.8781969E-001	1.0780569E+001	1.752799978785333E+000	-4.9635769E-006	-8.6739469E-001
2	1	0	1	0	5.104295184497401E+003	-6.7836642E-001	-6.7863584E-001	7.175896560376621E-003	1.000000000000000E+000	1.2662608E-005	14	1.8698089E-001	1.0780569E+001	1.802899978174537E+000	-4.8698207E-006	-8.6561674E-001
2	1	0	1	0	5.104345284496798E+003	-6.7736489E-001	-6.7761451E-001	7.218692597947857E-003	1.000000000000000E+000	1.3026347E-005	14	1.8610577E-001	1.0780569E+001	1.852999977571017E+000	-4.8914908E-006	-8.6372030E-001
2	1	0	1	0	5.104395384496194E+003	-6.7636240E-001	-6.7664897E-001	7.251101033977664E-003	1.000000000000000E+000	1.3391082E-005	14	1.8528116E-001	1.0780569E+001	1.903099976967496E+000	-4.9064502E-006	-8.6193013E-001
2	1	0	1	0	5.104445484495605E+003	-6.7536086E-001	-6.7560506E-001	7.180227638078296E-003	1.000000000000000E+000	1.3755964E-005	14	1.8442425E-001	1.0780569E+001	1.953199976378528E+000	-4.8509983E-006	-8.6002934E-001
2	1	0	1	0	5.104495584494980E+003	-6.7435843E-001	-6.7465574E-001	7.296822593262857E-003	1.000000000000000E+000	1.4122020E-005	14	1.8356575E-001	1.0780569E+001	2.003299975753180E+000	-4.9228433E-006	-8.5822147E-001
2	1	0	1	0	5.104545684494384E+003	-6.7335689E-001	-6.7365330E-001	7.245424787193297E-003	1.000000000000000E+000	1.4488211E-005	14	1.8272047E-001	1.0780569E+001	2.053399975156935E+000	-4.8809043E-006	-8.5637379E-001
2	1	0	1	0	5.104595784493766E+003	-6.7235440E-001	-6.7264342E-001	7.233336754358832E-003	1.000000000000000E+000	1.4855219E-005	14	1.8186320E-001	1.0780569E+001	2.103499974538863E+000	-4.8654565E-006	-8.5450661E-001
2	1	0	1	0	5.104645884493155E+003	-6.7135292E-001	-6.7163473E-001	7.291714954635306E-003	1.000000000000000E+000	1.5222500E-005	14	1.8102007E-001	1.0780569E+001	2.153599973928067E+000	-4.8973689E-006	-8.5265481E-001
2	1	0	1	0	5.104695984492559E+003	-6.7035043E-001	-6.7063010E-001	7.227573702241197E-003	1.000000000000000E+000	1.5589840E-005	14	1.8015814E-001	1.0780569E+001	2.203699973331823E+000	-4.8470283E-006	-8.5078824E-001
2	1	0	1	0	5.104746084491948E+003	-6.6934890E-001	-6.6961044E-001	7.233283297467696E-003	1.000000000000000E+000	1.5955016E-005	14	1.7932695E-001	1.0780569E+001	2.253799972721026E+000	-4.8434822E-006	-8.4893739E-001
2	1	0	1	0	5.104796184491337E+003	-6.6834641E-001	-6.6860074E-001	7.329159550998290E-003	1.000000000000000E+000	1.6322396E-005	14	1.7848015E-001	1.0780569E+001	2.303899972110230E+000	-4.9002815E-006	-8.4708089E-001
2	1	0	1	0	5.104846384490738E+003	-6.6734260E-001	-6.6762573E-001	7.233929741338928E-003	1.000000000000000E+000	1.6691400E-005	14	1.7764205E-001	1.0780569E+001	2.354099971511459E+000	-4.8295574E-006	-8.4526777E-001
2	1	0	1	0	5.104896384490130E+003	-6.6634238E-001	-6.6660333E-001	7.451947674983091E-003	1.000000000000000E+000	1.7061559E-005	14	1.7674750E-001	1.0780569E+001	2.404099970903189E+000	-4.9674932E-006	-8.4335083E-001
2	1	0	1	0	5.104946484489541E+003	-6.6534084E-001	-6.6562212E-001	7.276481342796626E-003	1.000000000000000E+000	1.7432454E-005	14	1.7591019E-001	1.0780569E+001	2.454199970314221E+000	-4.8433867E-006	-8.4153229E-001
2	1	0	1	0	5.104996584488908E+003	-6.6433841E-001	-6.6460693E-001	7.284352804870442E-003	1.000000000000000E+000	1.7800807E-005	14	1.7505443E-001	1.0780569E+001	2.504299969681597E+000	-4.8412312E-006	-8.3966136E-001
