EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.715              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.185               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102464684519568E+003	-7.1499908E-001	-7.1548402E-001	-3.198054851964116E-003	1.000000000000000E+000	0.0000000E+000	14	1.8906596E-001	6.1440158E+000	0.000000000000000E+000	2.2881572E-006	-9.0454996E-001
2	1	0	1	0	5.102492184519229E+003	-7.1444935E-001	-7.1476007E-001	6.444360982287532E-003	1.000000000000000E+000	1.4569332E-007	14	1.8766969E-001	6.1440144E+000	0.000000000000000E+000	-4.6061718E-006	-9.0242976E-001
2	1	0	1	0	5.102542184518636E+003	-7.1344930E-001	-7.1381235E-001	6.753153008132923E-003	1.000000000000000E+000	4.8366877E-007	14	1.8610342E-001	6.1440144E+000	4.999999940628186E-002	-4.8204838E-006	-8.9991575E-001
2	1	0	1	0	5.102592184518027E+003	-7.1244931E-001	-7.1277851E-001	7.067875181005684E-003	1.000000000000000E+000	8.3174410E-007	14	1.8452325E-001	6.1440144E+000	9.999999879801180E-002	-5.0378294E-006	-8.9730179E-001
2	1	0	1	0	5.102642184517419E+003	-7.1144933E-001	-7.1178699E-001	7.301365250626718E-003	1.000000000000000E+000	1.1916500E-006	14	1.8294811E-001	6.1440144E+000	1.499999981897417E-001	-5.1970169E-006	-8.9473510E-001
2	1	0	1	0	5.102692184516811E+003	-7.1044928E-001	-7.1081775E-001	7.251731414322032E-003	1.000000000000000E+000	1.5585988E-006	14	1.8135124E-001	6.1440144E+000	1.999999975814717E-001	-5.1546594E-006	-8.9216900E-001
2	1	0	1	0	5.102742184516203E+003	-7.0944929E-001	-7.0976263E-001	7.460216704876760E-003	1.000000000000000E+000	1.9291067E-006	14	1.7974928E-001	6.1440144E+000	2.499999969732016E-001	-5.2949831E-006	-8.8951194E-001
2	1	0	1	0	5.102792184515609E+003	-7.0844936E-001	-7.0879883E-001	7.406455950802882E-003	1.000000000000000E+000	2.3018547E-006	14	1.7816345E-001	6.1440144E+000	2.999999963794835E-001	-5.2496871E-006	-8.8696229E-001
2	1	0	1	0	5.102842184515001E+003	-7.0744932E-001	-7.0779139E-001	7.462391931632617E-003	1.000000000000000E+000	2.6763391E-006	14	1.7655854E-001	6.1440144E+000	3.499999957712134E-001	-5.2818168E-006	-8.8434994E-001
2	1	0	1	0	5.102892184514392E+003	-7.0644927E-001	-7.0684236E-001	7.627665216137669E-003	1.000000000000000E+000	3.0565259E-006	14	1.7492932E-001	6.1440144E+000	3.999999951629434E-001	-5.3915569E-006	-8.8177168E-001
