EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.740              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.160               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102464884519562E+003	-7.3997790E-001	-7.4029076E-001	-4.355921410024166E-003	1.000000000000000E+000	0.0000000E+000	14	2.9012191E-001	4.7477589E+000	0.000000000000000E+000	3.2246485E-006	-1.0304127E+000
2	0	0	1	0	5.102507484519039E+003	-7.3912233E-001	-7.3942000E-001	8.013378802370097E-003	1.000000000000000E+000	3.6736321E-007	14	2.8918731E-001	4.7477565E+000	0.000000000000000E+000	-5.9252525E-006	-1.0286074E+000
2	1	0	1	0	5.102572684518258E+003	-7.3781866E-001	-7.3810679E-001	8.719726504823975E-003	1.000000000000000E+000	1.0266411E-006	13	2.8781641E-001	4.7477579E+000	6.519999921874842E-002	-6.4360893E-006	-1.0259233E+000
2	1	0	1	0	5.102622784517647E+003	-7.3681611E-001	-7.3706961E-001	9.170203334953719E-003	1.000000000000000E+000	1.5506187E-006	13	2.8682289E-001	4.7477574E+000	1.152999986079521E-001	-6.7590781E-006	-1.0238925E+000
2	1	0	1	0	5.102672984517048E+003	-7.3581237E-001	-7.3609138E-001	9.185566724177863E-003	1.000000000000000E+000	2.0864156E-006	13	2.8583586E-001	4.7477574E+000	1.654999980091816E-001	-6.7614164E-006	-1.0219272E+000
2	1	0	1	0	5.102723084516438E+003	-7.3481065E-001	-7.3508936E-001	9.324840222285420E-003	1.000000000000000E+000	2.6250648E-006	13	2.8484088E-001	4.7477579E+000	2.155999973983853E-001	-6.8545910E-006	-1.0199302E+000
2	1	0	1	0	5.102773284515832E+003	-7.3380661E-001	-7.3409063E-001	9.498169941529577E-003	1.000000000000000E+000	3.1735294E-006	13	2.8385437E-001	4.7477579E+000	2.657999967923388E-001	-6.9725174E-006	-1.0179451E+000
2	1	0	1	0	5.102823484515247E+003	-7.3280269E-001	-7.3307961E-001	9.608453061854406E-003	1.000000000000000E+000	3.7274792E-006	13	2.8286088E-001	4.7477579E+000	3.159999962081201E-001	-7.0437609E-006	-1.0159404E+000
2	1	0	1	0	5.102873584514615E+003	-7.3180014E-001	-7.3209321E-001	9.783144199496371E-003	1.000000000000000E+000	4.2856941E-006	13	2.8182721E-001	4.7477574E+000	3.660999955754960E-001	-7.1621735E-006	-1.0139204E+000
2	1	0	1	0	5.102923584514007E+003	-7.3080009E-001	-7.3111129E-001	9.977112318328762E-003	1.000000000000000E+000	4.8514803E-006	13	2.8080529E-001	4.7477574E+000	4.160999949672259E-001	-7.2943794E-006	-1.0119166E+000
