EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.715              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.185               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102737684536143E+003	-7.1503991E-001	-7.1548897E-001	-2.161247190088034E-003	1.000000000000000E+000	0.0000000E+000	14	2.2245011E-001	1.1018003E+001	0.000000000000000E+000	1.5463485E-006	-9.3793905E-001
2	1	0	1	0	5.102765184535805E+003	-7.1449012E-001	-7.1498984E-001	4.785454434989310E-003	1.000000000000000E+000	1.1049833E-007	14	2.2185449E-001	1.1018003E+001	0.000000000000000E+000	-3.4215514E-006	-9.3684435E-001
2	1	0	1	0	5.102815384535192E+003	-7.1348691E-001	-7.1395260E-001	5.297126730939081E-003	1.000000000000000E+000	3.7193615E-007	14	2.2113626E-001	1.1018001E+001	5.019999938667752E-002	-3.7818975E-006	-9.3508887E-001
2	1	0	1	0	5.102865884534578E+003	-7.1247727E-001	-7.1299505E-001	5.358562935264280E-003	1.000000000000000E+000	6.4509521E-007	14	2.2051355E-001	1.1018001E+001	1.006999987730524E-001	-3.8206290E-006	-9.3350863E-001
2	1	0	1	0	5.102916384533986E+003	-7.1146709E-001	-7.1196932E-001	5.518525563889265E-003	1.000000000000000E+000	9.2298865E-007	14	2.1985628E-001	1.1018001E+001	1.511999981812551E-001	-3.9290207E-006	-9.3182558E-001
2	1	0	1	0	5.102966584533366E+003	-7.1046215E-001	-7.1096760E-001	5.715488364027493E-003	1.000000000000000E+000	1.2076307E-006	14	2.1920954E-001	1.1018003E+001	2.013999975606566E-001	-4.0635268E-006	-9.3017715E-001
2	1	0	1	0	5.103016884532786E+003	-7.0945722E-001	-7.0995337E-001	5.657518095375597E-003	1.000000000000000E+000	1.4975852E-006	14	2.1854803E-001	1.1018001E+001	2.516999969811877E-001	-4.0165742E-006	-9.2850137E-001
2	1	0	1	0	5.103067584532138E+003	-7.0844316E-001	-7.0896810E-001	6.278027042813730E-003	1.000000000000000E+000	1.8086604E-006	14	2.1780775E-001	1.1018001E+001	3.023999963334063E-001	-4.4509211E-006	-9.2677587E-001
2	1	0	1	0	5.103117984531549E+003	-7.0743495E-001	-7.0794475E-001	5.882391457962169E-003	1.000000000000000E+000	2.1134017E-006	14	2.1718590E-001	1.1018001E+001	3.527999957441352E-001	-4.1644080E-006	-9.2513067E-001
2	1	0	1	0	5.103168384530924E+003	-7.0642638E-001	-7.0691198E-001	5.881037071927320E-003	1.000000000000000E+000	2.4125366E-006	14	2.1651807E-001	1.1018003E+001	4.031999951184844E-001	-4.1573758E-006	-9.2343009E-001
2	1	0	1	0	5.103218584530332E+003	-7.0542282E-001	-7.0593065E-001	6.055103146807685E-003	1.000000000000000E+000	2.7141168E-006	14	2.1584767E-001	1.1018001E+001	4.533999945269898E-001	-4.2744828E-006	-9.2177832E-001
2	1	0	1	0	5.103268984529699E+003	-7.0441508E-001	-7.0492721E-001	5.910642745075828E-003	1.000000000000000E+000	3.0170565E-006	14	2.1521336E-001	1.1018001E+001	5.037999938940629E-001	-4.1665730E-006	-9.2014056E-001
2	1	0	1	0	5.103319684529095E+003	-7.0340151E-001	-7.0390415E-001	5.941149438602286E-003	1.000000000000000E+000	3.3198316E-006	14	2.1454395E-001	1.1018001E+001	5.544999932899373E-001	-4.1819999E-006	-9.1844809E-001
2	1	0	1	0	5.103370084528484E+003	-7.0239264E-001	-7.0288801E-001	6.115711777357372E-003	1.000000000000000E+000	3.6249048E-006	14	2.1389268E-001	1.1018003E+001	6.048999926788383E-001	-4.2986603E-006	-9.1678071E-001
2	1	0	1	0	5.103420184527873E+003	-7.0139009E-001	-7.0183986E-001	6.045825256108039E-003	1.000000000000000E+000	3.9313049E-006	14	2.1324103E-001	1.1018003E+001	6.549999920680420E-001	-4.2432011E-006	-9.1508090E-001
2	1	0	1	0	5.103470484527279E+003	-7.0038539E-001	-7.0085377E-001	6.106229237895666E-003	1.000000000000000E+000	4.2382408E-006	14	2.1256402E-001	1.1018001E+001	7.052999914740212E-001	-4.2795737E-006	-9.1341782E-001
2	1	0	1	0	5.103521284526665E+003	-6.9936961E-001	-6.9988716E-001	6.073576018781945E-003	1.000000000000000E+000	4.5473412E-006	14	2.1190499E-001	1.1018001E+001	7.560999908600934E-001	-4.2508177E-006	-9.1179216E-001
2	1	0	1	0	5.103571784526051E+003	-6.9835901E-001	-6.9885528E-001	6.399981604113494E-003	1.000000000000000E+000	4.8646439E-006	14	2.1122207E-001	1.1018001E+001	8.065999902464682E-001	-4.4726607E-006	-9.1007733E-001
2	1	0	1	0	5.103621984525438E+003	-6.9735414E-001	-6.9790083E-001	6.373585434630485E-003	1.000000000000000E+000	5.1910047E-006	14	2.1050344E-001	1.1018003E+001	8.567999896331457E-001	-4.4481308E-006	-9.0840429E-001
2	1	0	1	0	5.103672284524822E+003	-6.9634926E-001	-6.9686306E-001	6.162447214404038E-003	1.000000000000000E+000	5.5059390E-006	14	2.0986357E-001	1.1018001E+001	9.070999890172970E-001	-4.2943816E-006	-9.0672660E-001
2	1	0	1	0	5.103722784524231E+003	-6.9533902E-001	-6.9585168E-001	6.099274345670470E-003	1.000000000000000E+000	5.8181640E-006	14	2.0920312E-001	1.1018001E+001	9.575999884254998E-001	-4.2441902E-006	-9.0505481E-001
2	1	0	1	0	5.103773384523600E+003	-6.9432765E-001	-6.9482589E-001	6.226889652102038E-003	1.000000000000000E+000	6.1320161E-006	14	2.0851383E-001	1.1018000E+001	1.008199987794796E+000	-4.3266041E-006	-9.0333974E-001
2	1	0	1	0	5.103823784522989E+003	-6.9331813E-001	-6.9381613E-001	6.159143973491129E-003	1.000000000000000E+000	6.4462229E-006	14	2.0786937E-001	1.1018003E+001	1.058599987183698E+000	-4.2733136E-006	-9.0168548E-001
2	1	0	1	0	5.103873984522375E+003	-6.9231498E-001	-6.9283390E-001	6.233029336882079E-003	1.000000000000000E+000	6.7601513E-006	14	2.0718937E-001	1.1018001E+001	1.108799986570375E+000	-4.3184541E-006	-9.0002328E-001
2	1	0	1	0	5.103924384521786E+003	-6.9130701E-001	-6.9182241E-001	6.255952002779980E-003	1.000000000000000E+000	7.0759656E-006	14	2.0650047E-001	1.1018001E+001	1.159199985981104E+000	-4.3280079E-006	-8.9832288E-001
2	1	0	1	0	5.103974984521170E+003	-6.9029516E-001	-6.9077474E-001	6.159237721413163E-003	1.000000000000000E+000	7.3932356E-006	14	2.0586531E-001	1.1018001E+001	1.209799985364953E+000	-4.2546458E-006	-8.9664006E-001
2	1	0	1	0	5.104025284520547E+003	-6.8928856E-001	-6.8978977E-001	6.323347765837518E-003	1.000000000000000E+000	7.7102322E-006	14	2.0517701E-001	1.1018003E+001	1.260099984741828E+000	-4.3617806E-006	-8.9496678E-001
